region_code,region_name,province_name
11110,종로구,서울특별시
11140,중구,서울특별시
11170,용산구,서울특별시
11200,성동구,서울특별시
11215,광진구,서울특별시
11230,동대문구,서울특별시
11260,중랑구,서울특별시
11290,성북구,서울특별시
11305,강북구,서울특별시
11320,도봉구,서울특별시
11350,노원구,서울특별시
11380,은평구,서울특별시
11410,서대문구,서울특별시
11440,마포구,서울특별시
11470,양천구,서울특별시
11500,강서구,서울특별시
11530,구로구,서울특별시
11545,금천구,서울특별시
11560,영등포구,서울특별시
11590,동작구,서울특별시
11620,관악구,서울특별시
11650,서초구,서울특별시
11680,강남구,서울특별시
11710,송파구,서울특별시
11740,강동구,서울특별시
26110,중구,부산광역시
26140,서구,부산광역시
26170,동구,부산광역시
26200,영도구,부산광역시
26230,부산진구,부산광역시
26260,동래구,부산광역시
26290,남구,부산광역시
26320,북구,부산광역시
26350,해운대구,부산광역시
26380,사하구,부산광역시
26410,금정구,부산광역시
26440,강서구,부산광역시
26470,연제구,부산광역시
26500,수영구,부산광역시
26530,사상구,부산광역시
26710,기장군,부산광역시
27110,중구,대구광역시
27140,동구,대구광역시
27170,서구,대구광역시
27200,남구,대구광역시
27230,북구,대구광역시
27260,수성구,대구광역시
27290,달서구,대구광역시
27710,달성군,대구광역시
27720,군위군,대구광역시
28110,중구,인천광역시
28140,동구,인천광역시
28177,미추홀구,인천광역시
28185,연수구,인천광역시
28200,남동구,인천광역시
28237,부평구,인천광역시
28245,계양구,인천광역시
28260,서구,인천광역시
28710,강화군,인천광역시
28720,옹진군,인천광역시
29110,동구,광주광역시
29140,서구,광주광역시
29155,남구,광주광역시
29170,북구,광주광역시
29200,광산구,광주광역시
30110,동구,대전광역시
30140,중구,대전광역시
30170,서구,대전광역시
30200,유성구,대전광역시
30230,대덕구,대전광역시
31110,중구,울산광역시
31140,남구,울산광역시
31170,동구,울산광역시
31200,북구,울산광역시
31710,울주군,울산광역시
36110,세종특별자치시,세종특별자치시
41110,수원시,경기도
41130,성남시,경기도
41150,의정부시,경기도
41170,안양시,경기도
41190,부천시,경기도
41210,광명시,경기도
41220,평택시,경기도
41250,동두천시,경기도
41270,안산시,경기도
41280,고양시,경기도
41290,과천시,경기도
41310,구리시,경기도
41360,남양주시,경기도
41370,오산시,경기도
41390,시흥시,경기도
41410,군포시,경기도
41430,의왕시,경기도
41450,하남시,경기도
41460,용인시,경기도
41480,파주시,경기도
41500,이천시,경기도
41550,안성시,경기도
41570,김포시,경기도
41590,화성시,경기도
41610,광주시,경기도
41630,양주시,경기도
41650,포천시,경기도
41670,여주시,경기도
41800,연천군,경기도
41820,가평군,경기도
41830,양평군,경기도
43110,청주시,충청북도
43130,충주시,충청북도
43150,제천시,충청북도
43720,보은군,충청북도
43730,옥천군,충청북도
43740,영동군,충청북도
43745,증평군,충청북도
43750,진천군,충청북도
43760,괴산군,충청북도
43770,음성군,충청북도
43800,단양군,충청북도
44130,천안시,충청남도
44150,공주시,충청남도
44180,보령시,충청남도
44200,아산시,충청남도
44210,서산시,충청남도
44230,논산시,충청남도
44250,계룡시,충청남도
44270,당진시,충청남도
44710,금산군,충청남도
44760,부여군,충청남도
44770,서천군,충청남도
44790,청양군,충청남도
44800,홍성군,충청남도
44810,예산군,충청남도
44825,태안군,충청남도
46110,목포시,전라남도
46130,여수시,전라남도
46150,순천시,전라남도
46170,나주시,전라남도
46230,광양시,전라남도
46710,담양군,전라남도
46720,곡성군,전라남도
46730,구례군,전라남도
46770,고흥군,전라남도
46780,보성군,전라남도
46790,화순군,전라남도
46800,장흥군,전라남도
46810,강진군,전라남도
46820,해남군,전라남도
46830,영암군,전라남도
46840,무안군,전라남도
46860,함평군,전라남도
46870,영광군,전라남도
46880,장성군,전라남도
46890,완도군,전라남도
46900,진도군,전라남도
46910,신안군,전라남도
47110,포항시,경상북도
47130,경주시,경상북도
47150,김천시,경상북도
47170,안동시,경상북도
47190,구미시,경상북도
47210,영주시,경상북도
47230,영천시,경상북도
47250,상주시,경상북도
47280,문경시,경상북도
47290,경산시,경상북도
47730,의성군,경상북도
47750,청송군,경상북도
47760,영양군,경상북도
47770,영덕군,경상북도
47820,청도군,경상북도
47830,고령군,경상북도
47840,성주군,경상북도
47850,칠곡군,경상북도
47900,예천군,경상북도
47920,봉화군,경상북도
47930,울진군,경상북도
47940,울릉군,경상북도
48120,창원시,경상남도
48170,진주시,경상남도
48220,통영시,경상남도
48240,사천시,경상남도
48250,김해시,경상남도
48270,밀양시,경상남도
48310,거제시,경상남도
48330,양산시,경상남도
48720,의령군,경상남도
48730,함안군,경상남도
48740,창녕군,경상남도
48820,고성군,경상남도
48840,남해군,경상남도
48850,하동군,경상남도
48860,산청군,경상남도
48870,함양군,경상남도
48880,거창군,경상남도
48890,합천군,경상남도
50110,제주시,제주특별자치도
50130,서귀포시,제주특별자치도
51110,춘천시,강원특별자치도
51130,원주시,강원특별자치도
51150,강릉시,강원특별자치도
51170,동해시,강원특별자치도
51190,태백시,강원특별자치도
51210,속초시,강원특별자치도
51230,삼척시,강원특별자치도
51720,홍천군,강원특별자치도
51730,횡성군,강원특별자치도
51750,영월군,강원특별자치도
51760,평창군,강원특별자치도
51770,정선군,강원특별자치도
51780,철원군,강원특별자치도
51790,화천군,강원특별자치도
51800,양구군,강원특별자치도
51810,인제군,강원특별자치도
51820,고성군,강원특별자치도
51830,양양군,강원특별자치도
52110,전주시,전북특별자치도
52130,군산시,전북특별자치도
52140,익산시,전북특별자치도
52180,정읍시,전북특별자치도
52190,남원시,전북특별자치도
52210,김제시,전북특별자치도
52710,완주군,전북특별자치도
52720,진안군,전북특별자치도
52730,무주군,전북특별자치도
52740,장수군,전북특별자치도
52750,임실군,전북특별자치도
52770,순창군,전북특별자치도
52790,고창군,전북특별자치도
52800,부안군,전북특별자치도
